date,time,tempC,windspeedKmph,winddirDegree,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC
2015-02-23,1200,1,9,204,Light sleet,1.3,100,9,1019,100,1,1,-3,14,-3

2015-02-24,0,0,11,162,Overcast,0.1,99,10,1021,100,0,0,-4,19,-4

2015-02-24,1200,1,15,156,Partly cloudy,0.0,96,10,1020,45,1,0,-4,25,-4

2015-02-25,0,-4,13,174,Partly cloudy,0.0,96,10,1024,46,-4,-4,-9,23,-9

2015-02-25,1200,-0,15,144,Sunny,0.0,93,10,1026,21,-0,-1,-6,24,-6

2015-02-26,0,-3,11,162,Partly cloudy,0.0,95,10,1027,60,-3,-4,-8,18,-8

2015-02-26,1200,-0,9,141,Cloudy,0.0,94,10,1027,85,-0,-1,-5,14,-5

2015-02-27,0,-2,10,152,Moderate snow,0.1,97,5,1026,100,-2,-2,-6,14,-6

2015-02-27,1200,0,12,143,Heavy snow,0.4,97,2,1024,100,0,-0,-4,16,-4

2015-02-28,0,1,14,133,Light sleet,1.4,100,9,1020,100,1,1,-4,22,-4

2015-02-28,1200,1,13,170,Overcast,0.0,100,10,1019,100,2,2,-2,21,-2

2015-03-01,0,0,8,158,Light sleet,0.3,99,9,1021,100,0,0,-3,12,-3

2015-03-01,1200,-0,11,145,Heavy snow,0.4,97,2,1020,100,-0,-1,-4,15,-4

2015-03-02,0,-3,8,157,Moderate snow,0.1,98,5,1018,100,-3,-3,-7,11,-7

2015-03-02,1200,1,12,167,Moderate snow,0.2,99,5,1016,100,1,1,-3,17,-3

2015-03-03,0,-2,16,162,Moderate snow,0.1,95,5,1017,100,-2,-3,-7,24,-7

2015-03-03,1200,0,16,157,Light snow,0.1,93,10,1016,98,0,-1,-5,23,-5

2015-03-04,0,-2,12,152,Moderate snow,0.2,97,5,1016,100,-2,-2,-7,17,-7

2015-03-04,1200,1,5,134,Heavy snow,0.4,99,2,1018,100,1,1,-1,7,-1

2015-03-05,0,-1,4,85,Heavy snow,1.0,99,2,1020,100,-1,-1,-4,7,-4

2015-03-05,1200,1,6,90,Heavy snow,0.7,97,2,1022,100,1,1,-2,9,-2

2015-03-06,0,-3,5,60,Heavy snow,0.6,98,2,1026,100,-3,-3,-6,11,-6

2015-03-06,1200,2,8,348,Heavy snow,0.4,98,2,1028,80,2,1,-1,12,-1

2015-03-07,0,-2,3,88,Freezing fog,0.0,98,0,1028,70,-2,-2,-4,5,-4

2015-03-07,1200,1,4,311,Cloudy,0.0,92,10,1030,67,1,0,0,7,0

2015-03-08,0,-4,11,229,Mist,0.0,95,2,1028,14,-4,-4,-8,22,-8

2015-03-08,1200,2,16,217,Light drizzle,0.6,98,2,1024,100,2,1,-3,25,-3

2015-03-09,0,2,14,257,Light drizzle,0.2,99,2,1020,100,2,2,-3,26,-3

2015-03-09,1200,4,12,246,Patchy light drizzle,0.4,98,5,1019,48,4,4,0,23,0

2015-03-10,0,3,9,211,Light drizzle,0.2,99,2,1022,95,3,3,-1,15,-1

2015-03-10,1200,1,10,162,Cloudy,0.0,93,6,1019,68,1,0,-2,14,-2

2015-03-11,0,-4,10,181,Overcast,0.0,96,4,1018,80,-4,-4,-8,19,-8

2015-03-11,1200,0,10,191,Overcast,0.0,93,5,1017,86,1,-1,-2,14,-2

2015-03-12,0,-4,10,174,Overcast,0.0,96,5,1017,79,-4,-4,-7,16,-7

2015-03-12,1200,1,9,177,Overcast,0.0,92,5,1015,80,1,-0,-1,12,-1

2015-03-13,0,-3,10,178,Overcast,0.0,96,4,1013,82,-2,-3,-6,18,-6

2015-03-13,1200,1,9,200,Overcast,0.0,94,5,1012,86,2,1,-1,13,-1

2015-03-14,0,-3,8,212,Overcast,0.0,97,2,1012,91,-3,-3,-6,13,-6

2015-03-14,1200,2,10,169,Overcast,0.0,90,4,1010,83,2,0,-1,14,-1

2015-03-15,0,-4,10,202,Overcast,0.0,95,2,1011,78,-3,-4,-7,18,-7

2015-03-15,1200,0,14,240,Overcast,0.0,89,7,1009,90,0,-1,-3,19,-3

2015-03-16,0,-4,10,265,Overcast,0.0,97,4,1008,87,-4,-4,-8,17,-8

2015-03-16,1200,-1,11,275,Overcast,0.0,89,7,1009,83,-1,-2,-4,14,-4

2015-03-17,0,-6,9,265,Light freezing rain,0.0,94,3,1012,77,-6,-7,-10,15,-10

2015-03-17,1200,-1,8,245,Overcast,0.0,88,6,1011,91,-0,-2,-3,11,-3

